    "원래 컬럼명" : "바뀐 컬럼명"
    "타임스탬프": "timestamp",
    "0. 당신의 성함": "user_name",
    "0. 당신의 이상형": "ideal_type",

    "1-1. 희망하는 자녀 수": "p_children_count",
    "1-2. 희망하는 자녀 구성": "p_children_composition",
    "1-3. 자녀 갖고 싶은 시기": "p_children_timing",
    "1-4. 생물학적 출산이 어려움 발생 시 대안": "p_infertility_alternative",

    # 따옴표 제거(clean_colname) 후의 이름을 기준으로 매칭됨
    "1. 자녀 계획 및 가족 구성 항목에 대해 중요도": "imp_family_plan",

    # 시나리오(정수형) 문항들
    '아이가 오늘만 양치 안하고 그냥 자면 안돼요? 라고 칭얼거릴 때 어떻게 하시겠습니까?'
    : "sc_toothbrushing",
    "평소 밤 9시에 자기로 약속했습니다. 그런데 오늘 아이가 읽고 싶어 하던 동화책 시리즈의 마지막 권을 다 읽고 싶다며 30분만 더 시간을 달라고 합니다."
    : "sc_bedtime_story",
    "경쟁 상황에서의 태도 아이가 운동 경기나 대회에서 아쉽게 2등을 했습니다. 아이는 충분히 잘했다고 기뻐하는데, 당신의 마음속 생각은?"
    : "sc_competition_2nd",
    "재능 발견과 교육 아이가 특정 분야(예: 피아노, 운동)에 천재적인 재능을 보입니다. 이때 당신의 교육 방향은?"
    : "sc_talent_education",
    "두 사람의 훈육 방식이 부딪힐 때, 누구의 의견을 따라야 한다고 생각하시나요?"
    : "sc_discipline_conflict",
    "한 명은 퇴근 후 아이와 놀아주고, 한 명은 밀린 집안일을 해야 하는 상황입니다."
    : "sc_play_vs_chores",
    "맞벌이 상황 등에서 조부모님이 아이를 봐주겠다고 제안하신다면?"
    : "sc_grandparents_help",
    "양가 어르신들이 본인의 가치관과 다른 육아 조언(예: 애를 너무 손타게 키운다, 사탕 좀 주면 어떠냐)을 하실 때 당신의 생각은?"
    : "sc_inlaws_advice",
    "주말에 아이와 동물원에 가기로 했는데, 아침에 일어나니 갑자기 비가 옵니다. 이때 당신의 반응은?"
    : "sc_rainy_zoo",
    "아이의 교육 자금이나 미래 리스크를 대비하는 당신의 생각은?"
    : "sc_education_fund_risk",

    "4-1. 자녀 교육비/양육비 지출 비중": "e_childcare_cost_share",
    "4-2. 육아 휴직, 양육 부담" : "e_parental_leave_burden",
    "4. 경제적 지원 및 가사 분담에 대해 중요도": "imp_econ_housework",

    "5-1. 자녀 가치관, 어떤 사람이 되길 바라는가?": "child_values_open",
    "5. 자녀 가치관에 대해 중요도": "imp_child_values",



# 추가된 컬럼

