rename_map = {
    "타임스탬프": "timestamp",
    "0. 당신의 성함": "user_name",
    "0. 당신의 이상형": "ideal_type",

    "1-1. 희망하는 자녀 수": "plan_children_count",
    "1-2. 희망하는 자녀 구성": "plan_children_composition",
    "1-3. 자녀 갖고 싶은 시기": "plan_children_timing",
    "1-4. 생물학적 출산이 어려움 발생 시 대안": "plan_infertility_alternative",

    # 따옴표 제거(clean_colname) 후의 이름을 기준으로 매칭됨
    "1. 자녀 계획 및 가족 구성 항목에 대해 중요도": "importance_family_plan",

    # 시나리오(정수형) 문항들
    '아이가 오늘만 양치 안하고 그냥 자면 안돼요? 라고 칭얼거릴 때 어떻게 하시겠습니까?'
    : "scenario_toothbrushing",
    "평소 밤 9시에 자기로 약속했습니다. 그런데 오늘 아이가 읽고 싶어 하던 동화책 시리즈의 마지막 권을 다 읽고 싶다며 30분만 더 시간을 달라고 합니다."
    : "scenario_bedtime_story",
    "경쟁 상황에서의 태도 아이가 운동 경기나 대회에서 아쉽게 2등을 했습니다. 아이는 충분히 잘했다고 기뻐하는데, 당신의 마음속 생각은?"
    : "scenario_competition_2nd",
    "재능 발견과 교육 아이가 특정 분야(예: 피아노, 운동)에 천재적인 재능을 보입니다. 이때 당신의 교육 방향은?"
    : "scenario_talent_education",
    "두 사람의 훈육 방식이 부딪힐 때, 누구의 의견을 따라야 한다고 생각하시나요?"
    : "scenario_discipline_conflict",
    "한 명은 퇴근 후 아이와 놀아주고, 한 명은 밀린 집안일을 해야 하는 상황입니다."
    : "scenario_play_vs_chores",
    "맞벌이 상황 등에서 조부모님이 아이를 봐주겠다고 제안하신다면?": "scenario_grandparents_help",
    "양가 어르신들이 본인의 가치관과 다른 육아 조언(예: 애를 너무 손타게 키운다, 사탕 좀 주면 어떠냐)을 하실 때 당신의 생각은?"
    : "scenario_inlaws_advice",
    "주말에 아이와 동물원에 가기로 했는데, 아침에 일어나니 갑자기 비가 옵니다. 이때 당신의 반응은?"
    : "scenario_rainy_zoo",
    "아이의 교육 자금이나 미래 리스크를 대비하는 당신의 생각은?"
    : "scenario_education_fund_risk",

    "4-1. 자녀 교육비/양육비 지출 비중": "econ_spending_ratio",
    "4-2. 육아 휴직, 양육 부담": "econ_parental_leave_burden",
    "4. 경제적 지원 및 가사 분담에 대해 중요도": "importance_econ_support",

    "5-1. 자녀 가치관, 어떤 사람이 되길 바라는가?": "child_values_open",
    "5. 자녀 가치관에 대해 중요도": "importance_child_values",
}

# axis_SF_sum:
#   - S↔F 축에 해당하는 "시나리오 2문항" 점수를 더한 값(합계).
#   - 각 문항이 1~5라면 합계 범위는 2~10.
#   - 값이 작을수록 S(왼쪽) 성향, 클수록 F(오른쪽) 성향.

# axis_SF_mean:
#   - S↔F 축 2문항의 평균값.
#   - 각 문항이 1~5라면 평균 범위는 1.0~5.0 (0.5 단위가 나올 수 있음).
#   - 1에 가까울수록 S, 5에 가까울수록 F 성향.

# axis_SF_letter:
#   - S↔F 축의 최종 알파벳 결과.
#   - axis_SF_mean(또는 score 규칙)에 따라 S 또는 F로 결정됨.
#   - “중립이 없게” 설계했다면 항상 S/F 중 하나만 나옴.


# axis_AH_sum:
#   - A↔H 축 시나리오 2문항 점수 합(2~10).
#   - 작을수록 A(왼쪽), 클수록 H(오른쪽) 성향.

# axis_AH_mean:
#   - A↔H 축 2문항 평균(1.0~5.0).
#   - 1에 가까울수록 A, 5에 가까울수록 H 성향.

# axis_AH_letter:
#   - A↔H 축의 최종 알파벳 결과(A 또는 H).
#   - 평균/합계 기반 규칙으로 A/H 중 하나로 결정됨.


# axis_EL_sum:
#   - E↔L 축 시나리오 2문항 점수 합(2~10).
#   - 작을수록 E(왼쪽), 클수록 L(오른쪽) 성향.

# axis_EL_mean:
#   - E↔L 축 2문항 평균(1.0~5.0).
#   - 1에 가까울수록 E, 5에 가까울수록 L 성향.

# axis_EL_letter:
#   - E↔L 축의 최종 알파벳 결과(E 또는 L).
#   - 평균/합계 기반 규칙으로 E/L 중 하나로 결정됨.


# axis_BT_sum:
#   - B↔T 축 시나리오 2문항 점수 합(2~10).
#   - 작을수록 B(왼쪽), 클수록 T(오른쪽) 성향.

# axis_BT_mean:
#   - B↔T 축 2문항 평균(1.0~5.0).
#   - 1에 가까울수록 B, 5에 가까울수록 T 성향.

# axis_BT_letter:
#   - B↔T 축의 최종 알파벳 결과(B 또는 T).
#   - 평균/합계 기반 규칙으로 B/T 중 하나로 결정됨.


# axis_PG_sum:
#   - P↔G 축 시나리오 2문항 점수 합(2~10).
#   - 작을수록 P(왼쪽), 클수록 G(오른쪽) 성향.

# axis_PG_mean:
#   - P↔G 축 2문항 평균(1.0~5.0).
#   - 1에 가까울수록 P, 5에 가까울수록 G 성향.

# axis_PG_letter:
#   - P↔G 축의 최종 알파벳 결과(P 또는 G).
#   - 평균/합계 기반 규칙으로 P/G 중 하나로 결정됨.


# childcare_type_5axis:
#   - 5개 축의 알파벳을 순서대로 이어붙인 최종 타입 코드(5글자).
#   - 예: "SAEBP", "FHLTG" 같은 형태.
#   - 각 글자는 axis_*_letter(SF/AH/EL/BT/PG)의 결과를 의미함.
